Predictions,True_Values
40.75260626704821,44.8
41.12486035108967,44.8
40.59421540349473,44.8
40.19463925758567,44.8
40.40104068710083,44.8
37.912961047024524,40.32
40.180862566169196,43.12
37.76096422745376,40.58
37.25503959411156,40.58
39.25537260649367,40.58
38.794781620645196,40.58
38.54639479304051,41.25
38.692655545443344,41.25
38.289547638860896,41.25
38.237035825643815,41.25
37.52835205967705,41.25
38.87663503370694,40.06
40.549055619609895,41.12
40.20896119717243,41.2
41.4721727589442,41.2
40.433848983961745,41.12
40.90130412592379,41.12
40.39592577213617,43.99
39.53296620480742,42.27
40.54309217673849,42.27
39.79799361363439,42.27
41.31630564951863,42.27
40.84738154896041,42.27
40.805438024249895,42.27
41.46244786687812,42.27
40.83773035059113,42.27
41.13234248610178,42.27
40.712880169451765,43.19
39.91001174908162,42.86
40.55800382508233,42.86
41.42148753725613,43.01
38.66018852173857,43.26
40.08241001297394,43.26
40.44278368668879,44.5
36.46177962616841,40.05
39.798815217244496,44.5
40.54067793656993,44.5
39.64331725796216,43.6
36.78532676112523,42.28
39.11365828352266,42.28
40.16720346523228,45.17
40.67155816209046,47.79
40.13872781213675,43.01
40.035463122567336,43.95
40.765491817608094,44.64
39.18983726967791,44.73
39.745494459626144,44.64
40.468127891531694,44.92
41.312945833089465,44.92
38.781042053810225,44.5
38.02876362179669,40.07
35.05717072314843,36.16
34.83873184361181,36.16
36.95032453115428,39.78
37.90957635369672,43.0
38.654602992310686,43.0
40.084773292020515,46.77
38.77061979359819,44.0
40.44546904604668,46.48
39.21731922608228,44.39
39.97717059377749,44.97
38.0860617204745,43.4
39.21532682703296,44.13
38.13101951438766,44.21
39.28839483324044,44.0
38.51230294048748,44.0
39.96928400525456,44.53
39.50691299820846,44.35
39.057999528796806,45.49
39.077794416318774,44.99
42.01686414261445,44.96
41.6846007333902,45.0
41.812761402561534,45.22
41.63359419225912,45.22
42.390443410817184,45.22
41.68767892039739,45.22
42.66668673487509,45.22
41.1971721313363,45.22
40.21960702116504,45.22
39.72686321547208,42.0
38.26110726352431,42.0
37.4699868643425,40.35
39.00611976002466,40.35
38.51424400700081,40.35
38.195922177690086,40.35
39.1130914669558,40.35
38.67132115332113,40.35
38.89685234360296,40.35
38.82916657610582,40.35
38.514522297439065,40.35
38.596200501553625,40.35
38.24161018451261,40.35
39.330646867327594,40.35
39.14768849834634,40.35
39.34377553187211,41.8
41.67251944589907,45.95
42.22410771385637,49.98
41.34854896813272,44.98
41.67225562147998,44.98
38.98305255061341,40.5
37.74952212174219,40.5
