Predictions,True_Values
38.280626828724664,38.89999972453446
39.310808460159116,41.98999977966591
42.852524160696696,44.99999985560498
43.03146775798191,44.99999985560498
46.88419249836126,49.509999884931474
39.79532575972112,39.500000255538026
39.601102618496135,39.19999999003625
40.28402519804663,40.32999986789374
39.912321898926315,39.87000033106795
38.47876827738652,38.58999997692919
38.97303840424404,38.58999997692919
39.18422644941979,38.58999997692919
39.3593163229783,38.58999997692919
39.42005661532686,38.58999997692919
38.99498106330266,38.58999997692919
38.82617985675619,38.58999997692919
38.67144278368906,38.58999997692919
38.51502309885394,38.8100002632386
34.43541028818226,34.92999989828688
38.30751288985381,38.419999849380204
38.184004788894,38.419999849380204
41.058897804352085,41.49999973534742
40.80239810294953,41.49999973534742
40.75993912294189,41.49999973534742
40.84173645304691,41.49999973534742
40.953912861115924,41.49999973534742
40.915286993012586,41.49999973534742
41.20457529441684,41.49999973534742
41.04238567343322,40.809999743047996
40.90241490992829,40.809999743047996
40.54161457779301,40.809999743047996
36.936015969052725,36.73000011717608
39.94194521006923,40.38000002665416
40.52469982927675,40.38000002665416
40.363768216519844,40.319999698729504
40.48733403058236,40.35999968832569
40.90040800548798,40.729999763855616
40.97970580859751,40.680000292155945
41.20339492405448,40.80000026094451
40.818944586905715,40.72000028175213
40.810013484262925,40.52000033377119
41.21242977286998,40.51000016460696
41.479743123360535,41.999999948830144
40.09777470972317,40.61999996423128
37.017329608392274,36.799999927204226
36.97064245655112,35.690000044144824
39.3243566110179,38.60000014609342
40.61004514107632,40.75000010218409
40.12384179444258,40.20999989910517
40.00444506498938,39.62000022432659
40.85972026808462,40.03999977155619
40.92995573994879,40.16999990950899
40.7946576765803,40.20999989910517
39.91900837411053,39.500000255538026
40.402425002356765,39.99999978196
40.51232174286913,39.74999967521864
40.93491631853799,39.74000019311515
40.86083949004055,39.62999970643008
41.05412273216442,40.08999993031661
41.00892169271779,39.83999982357525
40.70155063952835,39.65000004475854
40.3341016205499,39.99999978196
40.28589400327691,40.11999975074856
41.397973962746114,40.79000009178027
41.619995581771505,40.46000000584654
41.73186281250462,40.65999995382747
40.87065690104623,39.99999978196
40.67098055867686,39.95000031026033
41.04141554365927,39.99999978196
41.03760647888109,40.19000024783745
41.342660076172834,40.49999999544272
40.915549450217725,40.28999987829755
40.66838072081238,40.28999987829755
40.62004874554428,40.350000206222205
41.56325947945312,40.97999987059698
41.66962816303259,41.0300000293574
41.361817390965435,40.80000026094451
41.616870142436014,41.25999979777029
42.17612041350829,41.82000033917767
41.99649868726635,41.83999999044539
41.85079096652876,41.999999948830144
41.73995089161156,41.999999948830144
40.99106635803967,41.00000020892544
40.872944126271086,41.00000020892544
40.82656409058358,41.00999969102893
41.252345941055104,41.45999974575123
40.77372430975818,41.00000020892544
41.197946532335315,41.22999997733834
41.760992126970855,41.52000007367589
42.55659060775301,42.43999983438821
42.099429318870705,42.10000026635099
41.140798193569076,40.27999970913332
40.96380928410744,40.15000025824126
41.505826010477115,40.61999996423128
40.307882008344784,40.23999971953713
40.307119370916254,40.1299999199128
40.6723381907118,40.1299999199128
42.200538552436285,41.490000253243934
41.217300346501396,41.490000253243934
40.93280910322869,41.3499999461269
40.36713069181285,40.649999784663244
36.76914402908222,36.59000015358942
39.37586486811672,40.049999940720426
41.09873358642988,41.440000094483516
37.52949560651196,37.30000014068695
34.01277758064198,33.600000072448445
31.282427717956296,30.299999986054413
29.84108677815132,28.59999999880346
29.195910628948738,28.59999999880346
28.85750366772173,29.499999936482876
31.578942696056643,32.45000002802767
35.22732612336357,35.69999986977868
39.089929423155034,39.26999980006438
39.27632144599225,39.73000002395092
39.92211182750214,41.49999973534742
40.480630378879475,41.46999991491547
40.43861455305327,41.46999991491547
39.697030039912164,41.450000263647745
39.55530864562534,41.450000263647745
39.60246299877406,41.49999973534742
39.51532995491229,41.49999973534742
39.926086473920215,41.490000253243934
40.58415463096874,41.490000253243934
40.533233810808106,41.490000253243934
40.31439740540314,41.49999973534742
40.379236015104134,41.49999973534742
40.17539539755067,41.49999973534742
40.07004906036189,41.49999973534742
40.36860168887095,41.49999973534742
40.43543621004031,41.49999973534742
40.425780258310034,41.49999973534742
40.348810217009394,41.49999973534742
38.99180340735044,39.79999983397906
39.18829316197789,39.79999983397906
35.314760786893025,35.81999983856724
35.32390900073169,35.81999983856724
39.65848936734139,39.79999983397906
35.92694805788632,35.81999983856724
38.98300765567469,39.000000042055305
38.475860636307644,39.000000042055305
38.66660862427721,39.000000042055305
38.71783862177373,39.000000042055305
39.07819030324159,39.000000042055305
41.14659286390444,41.49999973534742
38.09346186254771,38.0000003021506
38.0408735459555,38.0000003021506
40.565293439357845,41.49999973534742
40.890207901646534,41.49999973534742
40.95134462804578,41.49999973534742
41.23866999689749,41.49999973534742
41.0520031497617,41.49999973534742
40.95806889157105,41.49999973534742
41.04630466793084,41.450000263647745
40.97586032959976,41.450000263647745
41.153891510213725,41.450000263647745
41.09637765513038,41.49999973534742
40.816139317878054,41.49999973534742
40.703264169029936,41.49999973534742
40.78326346116157,41.450000263647745
40.81692531537197,41.450000263647745
40.97459064134036,41.400000104887326
39.52503949738078,39.73000002395092
39.4266709491327,39.73000002395092
39.15832632046176,39.73000002395092
39.73110413057043,40.49999999544272
40.6813063946349,41.49999973534742
40.39942529513787,41.410000274051555
40.57174013034157,41.49999973534742
40.883002008538014,41.49999973534742
40.89998408900743,41.49999973534742
41.053136799993304,41.49999973534742
41.022596949814655,41.49999973534742
41.50118354101352,41.999999948830144
41.604331283813735,41.999999948830144
